seed,T1_TabPFN_fit_time,T1_TabPFN_predict_time,T1_TabPFN_ROC-AUC,T1_TabPFN_PR-AUC,T1_AG_fit_time,T1_AG_predict_time,T1_AG_ROC-AUC,T1_AG_PR-AUC,T3_TabPFN_fit_time,T3_TabPFN_predict_time,T3_TabPFN_ROC-AUC,T3_TabPFN_PR-AUC,T3_AG_fit_time,T3_AG_predict_time,T3_AG_ROC-AUC,T3_AG_PR-AUC
10,0.10450291633605957,7.600288152694702,0.7332785087719298,0.3283972349865666,6.729224443435669,0.028840065002441406,0.6930322966507177,0.2802049463855306,0.10881328582763672,7.60534930229187,0.8858444444444445,0.5996150096737441,5.783916234970093,0.07880687713623047,0.8656,0.528442919985137
11,0.12483024597167969,7.600236415863037,0.7980960925039872,0.35550503911573317,5.342372179031372,0.027769088745117188,0.6497208931419458,0.18269017198094778,0.10770702362060547,7.622228384017944,0.8886444444444445,0.5580117489277917,6.279810428619385,0.022040843963623047,0.9264888888888889,0.5840983745300337
12,0.11635804176330566,7.610608816146851,0.652686403508772,0.2248695681105765,5.129972696304321,0.031642913818359375,0.6217105263157895,0.17049682351793558,0.10822725296020508,7.583702325820923,0.8680888888888888,0.6513772507152809,6.163065195083618,0.02158498764038086,0.8345777777777778,0.5919791289344327
13,0.10669636726379395,7.60981822013855,0.718027312599681,0.26822446155247315,4.862473964691162,0.08698463439941406,0.6442384370015949,0.19557067839825312,0.1127934455871582,7.586139917373657,0.8692000000000001,0.6485921529053353,10.475537538528442,0.05917525291442871,0.9365777777777777,0.6328864511733601
14,0.11490821838378906,7.617548942565918,0.7237838915470494,0.2775375134747694,5.148329019546509,0.037756919860839844,0.6380582137161084,0.1404907366275614,0.11475777626037598,7.588452100753784,0.8978444444444443,0.6521447708510205,6.993201732635498,0.028775691986083984,0.8686666666666666,0.6279732025166463
15,0.1026759147644043,7.599157333374023,0.7172547846889952,0.2738166459119564,4.644588470458984,0.017664670944213867,0.7051684609250399,0.22979730745077406,0.11029720306396484,7.607526540756226,0.8392888888888889,0.5890333575411434,5.41622519493103,0.07135748863220215,0.8320444444444444,0.5798101486971472
16,0.10535717010498047,7.595744371414185,0.7524172647527911,0.370839252506335,4.644886493682861,0.016032695770263672,0.7299890350877193,0.3477825583964859,0.10790586471557617,7.605360269546509,0.8070222222222222,0.49639389134348383,5.096195220947266,0.09528207778930664,0.9030222222222222,0.5549058406094337
17,0.11094784736633301,7.611467599868774,0.7404555422647529,0.34226224818008605,5.203039884567261,0.013335466384887695,0.7117224880382775,0.3234441800731285,0.10453081130981445,7.6169593334198,0.8408666666666668,0.5922160300905751,5.468669652938843,0.01653146743774414,0.7624000000000001,0.41358215892605127
18,0.1037282943725586,7.609133958816528,0.7767394338118021,0.29404874655776486,4.899289846420288,0.0689544677734375,0.7556818181818181,0.2608271455632874,0.10751843452453613,7.588750839233398,0.9317333333333334,0.74579050424331,6.316439628601074,0.03144550323486328,0.8975555555555556,0.6636634624406063
19,0.10924625396728516,7.618911504745483,0.7129435805422647,0.334858999412832,5.209249973297119,0.05211353302001953,0.7209679027113238,0.2581810481105835,0.1050729751586914,7.621639251708984,0.9413777777777778,0.6710541379685374,13.81607460975647,0.02675914764404297,0.935111111111111,0.6670177119529319
